epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,329.946,1.90775,2.47924,0.01966,0.67622,0.7294,0.73142,0.3333,1.72514,1.10557,0.01999,0.00996032,0.00332011,0.00996032,0.00332011,0.00996032,0.00332011,0.00996032,0.00332011
2,637.781,1.6644,1.61161,0.01676,0.75318,0.76251,0.7988,0.38591,1.61811,0.98039,0.0185,0.0197627,0.00658757,0.0197627,0.00658757,0.0197627,0.00658757,0.0197627,0.00658757
3,948.1,1.66117,1.57566,0.01655,0.7417,0.72958,0.77365,0.39427,1.55434,1.20805,0.01832,0.0293671,0.00978903,0.0293671,0.00978903,0.0293671,0.00978903,0.0293671,0.00978903
4,1257.55,1.66556,1.58735,0.01648,0.74591,0.72983,0.7832,0.42821,1.44166,1.16243,0.01627,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1567.34,1.6286,1.51548,0.01596,0.74383,0.74452,0.78546,0.43093,1.44978,1.02207,0.01634,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1876.08,1.59974,1.47838,0.01578,0.79136,0.77646,0.83153,0.47882,1.36622,0.88263,0.01489,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2184.73,1.57627,1.45021,0.01555,0.77826,0.77216,0.82263,0.42823,1.54652,0.92875,0.01729,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2491.91,1.57673,1.40937,0.0152,0.7551,0.76726,0.80262,0.46349,1.3511,0.94515,0.01469,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2800.27,1.5593,1.38265,0.01497,0.79062,0.79683,0.8479,0.4743,1.45814,0.85749,0.01661,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3108.52,1.53962,1.37313,0.01517,0.79778,0.79415,0.8458,0.4898,1.39253,0.80683,0.01529,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3418.05,1.54471,1.34324,0.01462,0.79188,0.80372,0.85095,0.48043,1.43982,0.88317,0.01561,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3726.91,1.53162,1.33442,0.01471,0.77188,0.78418,0.82571,0.47941,1.34857,0.95078,0.01431,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4035.43,1.522,1.31792,0.01466,0.77011,0.78654,0.82327,0.49293,1.31339,0.90054,0.01398,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4343.17,1.51616,1.30598,0.01442,0.8075,0.79485,0.8591,0.52361,1.26849,0.78709,0.01344,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4650.69,1.51145,1.30268,0.01452,0.81422,0.81391,0.8686,0.52833,1.27426,0.75306,0.0135,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4958.95,1.4955,1.28211,0.01452,0.80163,0.80251,0.85819,0.52588,1.281,0.79793,0.01358,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5267.04,1.50479,1.27493,0.01429,0.82378,0.81779,0.87886,0.5403,1.25804,0.75632,0.01326,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
